微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2tks4hlb,台湾热点视频,台湾热点视频:#5人涉嫌侮辱国旗被香港警方拘捕# 主播李梓萌：守护国旗，就是守护我们的祖国，守护我们共同的信仰，守护我们最亲爱的人！#有种骄傲叫中国红#   央视新闻的微博视频  ,无,无,2019-08-16 12:40 ,iPhone 7,27,2,3
I2tkjf8KZ,微博发现,微博发现:【临时禁制令下 #香港国际机场秩序基本恢复#】由于近日连续的非法集会示威导致香港国际机场运作严重受阻、大面积取消航班，香港机场管理局14日取得法庭临时禁制令。只有持将于24小时内离港机票或登机证，以及有效旅游证件的离境旅客，或持有相关证件的机场员工，才可进入客运大楼范围，直至另行通知。 #守护香港# http://t.cn/AiHXtfEu ,无,无,2019-08-16 12:40 ,微博云剪,0,0,0
I2tk7qUjR,义勇军--鬼谷子,义勇军--鬼谷子:《华尔街日报》发表社论《特朗普的港区风险》 燃新闻的秒拍视频  ,无,无,2019-08-16 12:40 ,专业版微博,17,1,2
I2tk23JiP,蜉浮于海,蜉浮于海:#对香港暴力活动绝不容忍##付国豪# 还有比这恶心的么！小偷肯定是坐实了！  原图 ,无,无,2019-08-16 12:39 ,HUAWEI Mate 20 Pro,1,0,0
I2tjw9385,纳兰永劫,纳兰永劫:#5人涉嫌侮辱国旗被香港警方拘捕#再刷刷这个视频，爽哥威武我想说这个人真的去联合国闹了吗勇气可嘉 纳兰永劫的微博视频  ,无,无,2019-08-16 12:38,无,92,4,40
I2tj6bMQo,罗志渊,罗志渊:#驻英大使记者会播香港局势短片#让大家看一看在西方媒体看不到的画面，听一听在西方媒体听不到的声音。环球时报的秒拍视频  ,无,无,2019-08-16 12:37 ,渊品天下超话,62,10,9
I2tj5xRk5,ChuckWoods,"ChuckWoods:燃烧rap！#我为香港警察加油#！内地警察热血说唱 @快手 @香港警察 #支持香港警察##守护香港##反对台独,抵制港独# ChuckWoods的微博视频  ",无,无,2019-08-16 12:37 ,iPhone客户端,6,1,0
I2tj45N7C,义勇军--鬼谷子,义勇军--鬼谷子:中国驻英大使坚定发声：港区是中国的港区 绝不容外国插手  燃新闻的秒拍视频  ,无,无,2019-08-16 12:37 ,专业版微博,66,9,12
I2tiVe48O,木小目1990,木小目1990:#我也支持香港警察##香港永远是中国的一部分# 教育港独废青异常适合@长安十二时辰官微 @雷佳音 成都 木小目1990的微博视频  显示地图 ,无,#香港永远是中国的一部分#,2019-08-16 12:37 ,iPhone客户端,2,1,0
I2tiRoeGo,yu軒子,yu軒子:#香港是中国的香港##南澳大学# HK is part of China🇨🇳🇭🇰 yu軒子的微博视频  ,无,无,2019-08-16 12:36 ,iPhone客户端,139,18,19
